Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
1/1/2020,, CAMINO COSMOPOLITA, DESPISTE, LEVE, MIÉRCOLES, 3, COLONIA, COLONIA COSMOPOLITA, 1, 463120, 6195180 
3/1/2020,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 8, PAYSANDU, PAYSANDU, 1, 399150, 6423465 
3/1/2020,, NUEVA PALMIRA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 10, SORIANO, DOLORES, 1, 387180, 6288850 
4/1/2020,, NO SE INGRESO, ATROPELLO DE ANIMALES, SIN LESIONADOS, SÁBADO, 2, RIVERA, SIN DATOS, 1, 717810, 6448510 
4/1/2020,, DOCTOR ANGEL FORTUNATO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 10, COLONIA, OMBUES DE LAVALLE, 1, 425160, 6244210 
6/1/2020,, PABLO G. RIOS, ATROPELLO DE ANIMALES, LEVE, LUNES, 6, TACUAREMBO, TACUAREMBO, 1, 597275, 6489685 
6/1/2020,, BLAS MELLO, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 6, ARTIGAS, ARTIGAS, 1, 550485, 6635205 
2/1/2020,, NO SE INGRESO, ATROPELLO DE PEATÓN, GRAVE, JUEVES, 18, CANELONES, BARROS BLANCOS, 1, 591435, 6153980 
3/1/2020,, GENERAL FRUCTUOSO RIVERA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 20, SALTO, SALTO, 1, 408710, 6526710 
4/1/2020,, NO SE INGRESO, DESPISTE, LEVE, SÁBADO, 15, TACUAREMBO, SIN DATOS, 1, 574635, 6432685 
5/1/2020,, NO SE INGRESO, ATROPELLO DE ANIMALES, LEVE, DOMINGO, 23, CANELONES, SIN DATOS, 1, 568405, 6158825 
6/1/2020,, NO SE INGRESO, DESPISTE, LEVE, LUNES, 7, CERRO LARGO, SIN DATOS, 1, 735165, 6435825 
2/1/2020,, BASILICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, GRAVE, JUEVES, 9, TREINTA Y TRES, TREINTA Y TRES, 1, 743730, 6320800 
3/1/2020,, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, MALDONADO, MALDONADO, 1, 687020, 6136810 
3/1/2020,, JORGE WILLIAMS Y REPUBLICA ARGENTINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, CANELONES, SOLYMAR, 1, 594820, 6146290 
5/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 16, MALDONADO, SIN DATOS, 1, 707855, 6151575 
5/1/2020,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, DESPISTE, SIN LESIONADOS, DOMINGO, 21, MALDONADO, CERRO PELADO, 1, 685240, 6137820 
2/1/2020,, AVENIDA DE LAS INSTRUCCIONES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 14, MONTEVIDEO, MONTEVIDEO, 1, 574085, 6145110 
4/1/2020,, RICARDO PALMA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, MONTEVIDEO, MONTEVIDEO, 1, 579815, 6142690 
4/1/2020,, RAMAL RUTA 5. KM 81.900, DESPISTE, SIN LESIONADOS, SÁBADO, 22, FLORIDA, SIN DATOS, 1, 568925, 6225365 
5/1/2020,,  SIN NOMBRE, ATROPELLO DE PEATÓN, LEVE, DOMINGO, 1, DURAZNO, DURAZNO, 1, 544995, 6308110 
4/1/2020,, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 16, SALTO, SALTO, 1, 410260, 6527340 
6/1/2020,, JOSE PEDRO VARELA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, TACUAREMBO, SAN GREGORIO DE POLANCO, 1, 609400, 6390380 
2/1/2020,, BOULEVARD APARICIO SARAVIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, MONTEVIDEO, MONTEVIDEO, 1, 581930, 6146500 
3/1/2020,, PERU, COLISIÓN ENTRE VEHÍCULOS, GRAVE, VIERNES, 19, COLONIA, NUEVA PALMIRA, 1, 369355, 6250955 
5/1/2020,, BELL, CAÍDA, LEVE, DOMINGO, 1, MONTEVIDEO, MONTEVIDEO, 1, 571875, 6144520 
6/1/2020,, BOULEVARD ESPAÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 577330, 6136170 
7/1/2020,, JOSE ELLAURI, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 14, MONTEVIDEO, MONTEVIDEO, 1, 577300, 6136050 
7/1/2020,, AVENIDA AIGUA, CAÍDA, LEVE, MARTES, 17, MALDONADO, MALDONADO, 1, 687285, 6135225 
9/1/2020,, NO SE INGRESO, CAÍDA, GRAVE, JUEVES, 5, FLORES, SIN DATOS, 1, 508165, 6282645 
10/1/2020,, DANIEL FERNANDEZ CRESPO, CAÍDA, LEVE, VIERNES, 17, RIVERA, RIVERA, 1, 640065, 6580250 
10/1/2020,, RAMBLA CLAUDIO WILLIMAN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 21, MALDONADO, PINARES - LAS DELICIAS, 1, 685230, 6134100 
8/1/2020,, AVENIDA MANUEL ORIBE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 21, SALTO, SALTO, 1, 412765, 6527125 
9/1/2020,, GENERAL MANUEL ORIBE, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, JUEVES, 4, ARTIGAS, ARTIGAS, 1, 551820, 6636740 
10/1/2020,, GLORIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 14, MONTEVIDEO, MONTEVIDEO, 1, 577635, 6140115 
10/1/2020,, ISLAS CANARIAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 14, MALDONADO, SAN CARLOS, 1, 690250, 6149290 
11/1/2020,, NO SE INGRESO, DESPISTE, LEVE, SÁBADO, 18, ROCHA, SIN DATOS, 1, 817020, 6232855 
1/1/2020,, AV. PASO DE LA CADENA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 2, MALDONADO, MALDONADO, 1, 688830, 6134530 
1/1/2020,, F. CARAMBULA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 17, RIVERA, RIVERA, 1, 640840, 6579880 
3/1/2020,, ZABALA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 10, MONTEVIDEO, MONTEVIDEO, 1, 572420, 6136955 
4/1/2020,, AVENIDA GIANNATTASIO, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 2, CANELONES, PARQUE CARRASCO, 1, 589905, 6141785 
6/1/2020,, RUTA 39, ATROPELLO DE ANIMALES, LEVE, LUNES, 2, MALDONADO, SIN DATOS, 1, 687305, 6138225 
6/1/2020,, NO SE INGRESO, DESPISTE, LEVE, LUNES, 15, ROCHA, SIN DATOS, 1, 750815, 6228145 
8/1/2020,, AVENIDA DAMASO ANTONIO LARRAÑAGA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 13, MONTEVIDEO, MONTEVIDEO, 1, 577920, 6143455 
9/1/2020,, NO SE INGRESO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 17, CANELONES, LA FLORESTA, 1, 618985, 6153980 
8/1/2020,, AMALIA DE LA VEGA ESQ ORONA MENDEZ.., COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 12, COLONIA, COLONIA DEL SACRAMENTO, 1, 420275, 6189340 
9/1/2020,, MANUEL FUENTES, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 18, FLORIDA, SIN DATOS, 1, 673895, 6335495 
9/1/2020,, AV.GIANNATTASIO ESQ. MARQUEZ CASTRO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 19, CANELONES, SOLYMAR, 1, 595235, 6146110 
11/1/2020,, 106, DESPISTE, SIN LESIONADOS, SÁBADO, 11, COLONIA, SIN DATOS, 1, 440620, 6237730 
11/1/2020,, AVENIDA DOCTOR LUIS ALBERTO DE HERRERA, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 18, MONTEVIDEO, MONTEVIDEO, 1, 578680, 6137645 
11/1/2020,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 20, FLORIDA, SARANDI GRANDE, 1, 562555, 6267925 
