Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
3/12/2021,, INES DURAN, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, FLORES, TRINIDAD, 1, 509745, 6291780 
26/12/2021,, AVENIDA INGENIERO LUIS GIANNATTASIO, DESPISTE, LEVE, DOMINGO, 12, CANELONES, BARRA DE CARRASCO, 1, 589155, 6141115 
21/11/2021,, DIECIOCHO DE JULIO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 6, CERRO LARGO, MELO, 1, 766540, 6415255 
14/7/2021,, RUTA 3, DESPISTE, SIN LESIONADOS, MIÉRCOLES, 15, FLORES, SIN DATOS, 1, 507200, 6292120 
21/7/2021,, AVENIDA DE LAS LEYES, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 15, MONTEVIDEO, MONTEVIDEO, 1, 574235, 6138595 
13/8/2021,, AVENIDA EL DORADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 19, CANELONES, SIN DATOS, 1, 571765, 6159160 
31/10/2021,, CAMINO VOULMINOT KM 77, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 21, SAN JOSE, SIN DATOS, 1, 515360, 6175255 
10/7/2021,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 11, COLONIA, JUAN LACAZE, 1, 459360, 6189945 
29/7/2021,, AVENIDA SORIANO, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 7, PAYSANDU, PAYSANDU, 1, 397445, 6422985 
25/10/2021,, GENERAL ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 14, CANELONES, PANDO, 1, 594840, 6158625 
8/10/2021,, AVENIDA CALCAGNO Y PORTOFINO, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 16, CANELONES, SHANGRILA, 1, 591260, 6143275 
