Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
30/6/2021,, MAGALLANES, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 23, MONTEVIDEO, MONTEVIDEO, 1, 574605, 6138110 
5/1/2021,, SIN DATOS, DESPISTE, LEVE, MARTES, 18, DURAZNO, SIN DATOS, 1, 549275, 6321680 
3/1/2021,, SIN NOMBRE, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 3, MALDONADO, PIRIAPOLIS, 1, 657705, 6139945 
5/1/2021,, BOULEVARD GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, GRAVE, MARTES, 10, PAYSANDU, NUEVO PAYSANDU, 1, 399830, 6427880 
10/6/2021,, LOS CIPRESES, CAÍDA, LEVE, JUEVES, 15, SAN JOSE, MONTE GRANDE, 1, 553935, 6155145 
15/5/2021,, SIN DATOS, CAÍDA, SIN LESIONADOS, SÁBADO, 19, COLONIA, SIN DATOS, 1, 413955, 6218065 
26/5/2021,, PABLO G. RIOS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 11, TACUAREMBO, TACUAREMBO, 1, 596955, 6489965 
29/6/2021,, MADRID, ATROPELLO DE PEATÓN, LEVE, MARTES, 19, SAN JOSE, DELTA DEL TIGRE Y VILLAS, 1, 555785, 6153310 
1/4/2021,, CAMINO PARMALAT, DESPISTE, LEVE, JUEVES, 14, COLONIA, SIN DATOS, 1, 481715, 6202660 
20/4/2021,, MANUELA LESTIDO, CAÍDA, SIN LESIONADOS, MARTES, 20, CERRO LARGO, MELO, 1, 767120, 6415540 
5/6/2021,, WILSON FERREIRA ALDUNATE, ATROPELLO DE PEATÓN, LEVE, SÁBADO, 12, RIVERA, SIN DATOS, 1, 638885, 6581810 
7/4/2021,, COLON, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 12, PAYSANDU, PAYSANDU, 1, 398880, 6423225 
31/5/2021,, SIN DATOS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, LUNES, 11, TREINTA Y TRES, SIN DATOS, 1, 739465, 6316200 
21/5/2021,, AVENIDA MILLAN, COLISIÓN CON OBSTÁCULO EN CALZADA, LEVE, VIERNES, 11, MONTEVIDEO, MONTEVIDEO, 1, 573315, 6143240 
20/2/2021,, RAMBLA TOMAS BERRETA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 12, MONTEVIDEO, MONTEVIDEO, 1, 587250, 6139110 
1/3/2021,, CAMINO VECINAL ESTABLECIMIENTO EL SOL DORADO, DESPISTE, LEVE, LUNES, 1, TREINTA Y TRES, SIN DATOS, 1, 737830, 6310045 
29/3/2021,, CAMINO CORRALES, ATROPELLO DE ANIMALES, LEVE, LUNES, 7, MONTEVIDEO, MONTEVIDEO, 1, 578245, 6142535 
17/3/2021,, CAMINO DE LAS TROPAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 21, CERRO LARGO, RIO BRANCO, 1, 840580, 6387405 
17/5/2021,, GENERAL JOSE G. ARTIGAS, CAÍDA, LEVE, LUNES, 18, ROCHA, ROCHA, 1, 744890, 6181100 
19/5/2021,, AVENIDA GENERAL RONDEAU, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 16, MONTEVIDEO, MONTEVIDEO, 1, 573760, 6138500 
19/4/2021,, DOCTOR F. MARTINEZ RODRIGUEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 13, ROCHA, ROCHA, 1, 744765, 6182270 
8/5/2021,, SIN DATOS, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 2, COLONIA, SIN DATOS, 1, 436720, 6200535 
2/1/2021,, CALLE 140 Y 150 - LAS VEGAS, CAÍDA, LEVE, SÁBADO, 21, CANELONES, LA FLORESTA, 1, 619195, 6154135 
2/5/2021,, CAMINO RUTA VIEJA, DESPISTE, LEVE, DOMINGO, 15, RIO NEGRO, SIN DATOS, 1, 403640, 6321960 
31/5/2021,, AV. ORLANDO PEDRAGOSA SIERRA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 21, MALDONADO, PUNTA DEL ESTE, 1, 688545, 6131130 
4/6/2021,, CASAGRANDE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 9, SORIANO, MERCEDES, 1, 404260, 6319880 
20/3/2021,, RAFAEL PEREZ DEL PUERTO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 14, MALDONADO, MALDONADO, 1, 686695, 6135025 
4/4/2021,, CAMINO A "PASO DE LAS PIEDRAS", CAÍDA, LEVE, DOMINGO, 17, DURAZNO, SIN DATOS, 1, 588955, 6326620 
27/5/2021,, DR. MANUEL FERRERIA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, JUEVES, 11, SORIANO, MERCEDES, 1, 403980, 6320250 
14/4/2021,, NUEVA PALMIRA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MIÉRCOLES, 15, MONTEVIDEO, MONTEVIDEO, 1, 575010, 6138945 
