Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
20/12/2022,, ANDRESITO, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 15, FLORIDA, FLORIDA, 1, 571820, 6228265 
22/10/2022,, MALDONADO, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 22, MONTEVIDEO, MONTEVIDEO, 1, 573700, 6136660 
25/12/2022,, SIN DATOS, DESPISTE, GRAVE, DOMINGO, 1, CANELONES, SIN DATOS, 1, 629380, 6152315 
25/12/2022,, MALLORCA, COLISIÓN ENTRE VEHÍCULOS, LEVE, DOMINGO, 17, MONTEVIDEO, MONTEVIDEO, 1, 579940, 6140330 
10/10/2022,, ANSINA, COLISIÓN ENTRE VEHÍCULOS, LEVE, LUNES, 22, SORIANO, MERCEDES, 1, 405090, 6320265 
15/12/2022,, SIN DATOS, DESPISTE, SIN LESIONADOS, JUEVES, 17, MALDONADO, SIN DATOS, 1, 647350, 6153450 
5/9/2022,, FRANCISCO ACUÑA DE FIGUEROA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, LUNES, 17, SAN JOSE, SAN JOSE DE MAYO, 1, 525995, 6199795 
7/10/2022,, PRESIDENTE BERRO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 13, MONTEVIDEO, MONTEVIDEO, 1, 576545, 6138625 
29/11/2022,, AVENIDA ITALIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, MARTES, 18, MONTEVIDEO, MONTEVIDEO, 1, 579060, 6139175 
17/11/2022,, GENERAL JOSE G. ARTIGAS, COLISIÓN ENTRE VEHÍCULOS, LEVE, JUEVES, 15, PAYSANDU, PAYSANDU, 1, 398970, 6423115 
23/10/2022,, RUTA ONCE, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, DOMINGO, 2, CANELONES, SANTA LUCIA, 1, 556615, 6186855 
6/11/2022,, RINCON, DESPISTE, LEVE, DOMINGO, 13, ARTIGAS, ARTIGAS, 1, 551180, 6636355 
30/11/2022,, RUTA TREINTA Y UNO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, MIÉRCOLES, 16, SALTO, SALTO, 1, 413985, 6527245 
