Departamento,Gravedad,X,Y
COLONIA,LEVE,463120.0,6195180.0
PAYSANDU,LEVE,399150.0,6423465.0
SORIANO,SIN LESIONADOS,387180.0,6288850.0
RIVERA,SIN LESIONADOS,717810.0,6448510.0
COLONIA,LEVE,425160.0,6244210.0
TACUAREMBO,LEVE,597275.0,6489685.0
ARTIGAS,LEVE,550485.0,6635205.0
CANELONES,GRAVE,591435.0,6153980.0
SALTO,LEVE,408710.0,6526710.0
TACUAREMBO,LEVE,574635.0,6432685.0
CANELONES,LEVE,568405.0,6158825.0
CERRO LARGO,LEVE,735165.0,6435825.0
TREINTA Y TRES,GRAVE,743730.0,6320800.0
MALDONADO,LEVE,687020.0,6136810.0
CANELONES,LEVE,594820.0,6146290.0
MALDONADO,SIN LESIONADOS,707855.0,6151575.0
MALDONADO,SIN LESIONADOS,685240.0,6137820.0
MONTEVIDEO,SIN LESIONADOS,574085.0,6145110.0
MONTEVIDEO,LEVE,579815.0,6142690.0
FLORIDA,SIN LESIONADOS,568925.0,6225365.0
DURAZNO,LEVE,544995.0,6308110.0
SALTO,SIN LESIONADOS,410260.0,6527340.0
TACUAREMBO,SIN LESIONADOS,609400.0,6390380.0
MONTEVIDEO,SIN LESIONADOS,581930.0,6146500.0
COLONIA,GRAVE,369355.0,6250955.0
MONTEVIDEO,LEVE,571875.0,6144520.0
MONTEVIDEO,LEVE,577330.0,6136170.0
MONTEVIDEO,LEVE,577300.0,6136050.0
MALDONADO,LEVE,687285.0,6135225.0
FLORES,GRAVE,508165.0,6282645.0
RIVERA,LEVE,640065.0,6580250.0
MALDONADO,SIN LESIONADOS,685230.0,6134100.0
SALTO,SIN LESIONADOS,412765.0,6527125.0
ARTIGAS,LEVE,551820.0,6636740.0
MONTEVIDEO,SIN LESIONADOS,577635.0,6140115.0
MALDONADO,LEVE,690250.0,6149290.0
ROCHA,LEVE,817020.0,6232855.0
MALDONADO,SIN LESIONADOS,688830.0,6134530.0
RIVERA,LEVE,640840.0,6579880.0
MONTEVIDEO,SIN LESIONADOS,572420.0,6136955.0
CANELONES,SIN LESIONADOS,589905.0,6141785.0
MALDONADO,LEVE,687305.0,6138225.0
ROCHA,LEVE,750815.0,6228145.0
MONTEVIDEO,SIN LESIONADOS,577920.0,6143455.0
CANELONES,SIN LESIONADOS,618985.0,6153980.0
COLONIA,SIN LESIONADOS,420275.0,6189340.0
FLORIDA,LEVE,673895.0,6335495.0
CANELONES,LEVE,595235.0,6146110.0
COLONIA,SIN LESIONADOS,440620.0,6237730.0
MONTEVIDEO,LEVE,578680.0,6137645.0
FLORIDA,LEVE,562555.0,6267925.0
DURAZNO,SIN LESIONADOS,547220.0,6367015.0
MALDONADO,GRAVE,701310.0,6137630.0
SALTO,LEVE,408380.0,6527260.0
CANELONES,LEVE,565990.0,6161330.0
MONTEVIDEO,LEVE,577460.0,6140390.0
SAN JOSE,SIN LESIONADOS,491135.0,6236840.0
