Departamento,Gravedad,X,Y
13,0,463120.0,6195180.0
10,0,399150.0,6423465.0
12,0,387180.0,6288850.0
7,0,717810.0,6448510.0
13,0,425160.0,6244210.0
19,0,597275.0,6489685.0
8,0,550485.0,6635205.0
2,1,591435.0,6153980.0
9,0,408710.0,6526710.0
19,0,574635.0,6432685.0
2,0,568405.0,6158825.0
5,0,735165.0,6435825.0
6,1,743730.0,6320800.0
3,0,687020.0,6136810.0
2,0,594820.0,6146290.0
3,0,707855.0,6151575.0
3,0,685240.0,6137820.0
1,0,574085.0,6145110.0
1,0,579815.0,6142690.0
16,0,568925.0,6225365.0
17,0,544995.0,6308110.0
9,0,410260.0,6527340.0
19,0,609400.0,6390380.0
1,0,581930.0,6146500.0
13,1,369355.0,6250955.0
1,0,571875.0,6144520.0
1,0,577330.0,6136170.0
1,0,577300.0,6136050.0
3,0,687285.0,6135225.0
15,1,508165.0,6282645.0
7,0,640065.0,6580250.0
3,0,685230.0,6134100.0
9,0,412765.0,6527125.0
8,0,551820.0,6636740.0
1,0,577635.0,6140115.0
3,0,690250.0,6149290.0
4,0,817020.0,6232855.0
3,0,688830.0,6134530.0
7,0,640840.0,6579880.0
1,0,572420.0,6136955.0
2,0,589905.0,6141785.0
3,0,687305.0,6138225.0
4,0,750815.0,6228145.0
1,0,577920.0,6143455.0
2,0,618985.0,6153980.0
13,0,420275.0,6189340.0
16,0,673895.0,6335495.0
2,0,595235.0,6146110.0
13,0,440620.0,6237730.0
1,0,578680.0,6137645.0
16,0,562555.0,6267925.0
17,0,547220.0,6367015.0
3,1,701310.0,6137630.0
9,0,408380.0,6527260.0
2,0,565990.0,6161330.0
1,0,577460.0,6140390.0
14,0,491135.0,6236840.0
1,1,575040.0,6141855.0
12,0,387150.0,6288710.0
1,0,578710.0,6144650.0
19,0,596210.0,6483290.0
5,1,766785.0,6414920.0
3,0,686665.0,6137140.0
9,0,410325.0,6529120.0
19,0,596200.0,6488470.0
12,0,404880.0,6319780.0
3,0,685465.0,6136870.0
1,0,577910.0,6136270.0
18,1,661475.0,6196830.0
13,0,467340.0,6203640.0
10,0,400125.0,6423505.0
7,0,691480.0,6501785.0
7,0,638135.0,6581595.0
2,0,585330.0,6166040.0
14,0,554845.0,6152760.0
3,0,675640.0,6139540.0
13,0,422305.0,6187070.0
3,0,660670.0,6149040.0
12,0,408885.0,6311780.0
15,0,509440.0,6291595.0
12,0,403030.0,6319555.0
3,0,648620.0,6149500.0
9,0,407075.0,6526705.0
19,0,597125.0,6491605.0
7,0,637025.0,6573470.0
1,0,580615.0,6138015.0
16,0,571185.0,6226360.0
18,0,705265.0,6243575.0
8,0,551100.0,6636575.0
2,0,565880.0,6179440.0
8,0,551710.0,6635505.0
