departamento,gravedad,latitud,longitud
13,0,-34.38411376178377,-57.401173213905594
10,0,-32.32112434031713,-58.071424497189064
12,0,-33.53400274980142,-58.21505482892153
7,0,-32.078706260259196,-54.69234299616165
13,0,-33.93992207021862,-57.80983433524032
19,0,-31.724115603361533,-55.97323560901416
8,0,-30.414148070033423,-56.47436293098613
2,1,-34.752218457254656,-56.00101077027561
9,0,-31.39060011000291,-57.96017142567725
19,0,-32.240012103933886,-56.2077785374753
2,0,-34.71033489851554,-56.25300016489819
5,0,-32.18955567054214,-54.505502039518
6,1,-33.22427736011874,-54.384641255492184
3,0,-34.89391411477245,-54.95329280536021
2,0,-34.821244660585855,-55.96316521882536
3,0,-34.75682084475878,-54.729086715672764
3,0,-34.88513843137982,-54.97298552831756
1,0,-34.83360533780605,-56.18977054864135
1,0,-34.85499207719406,-56.126880281549916
16,0,-34.11027279406923,-56.252677906289016
17,0,-33.365302031239345,-56.51633578432772
9,0,-31.385037627288384,-57.94381385914424
19,0,-32.618723219932406,-55.83391603202289
1,0,-34.82047062454247,-56.1041184225435
13,1,-33.87365540397477,-58.412563041285225
1,0,-34.83908383868746,-56.213887561765155
1,0,-34.91397259838855,-56.153459069436025
1,0,-34.9150568754209,-56.15377634683546
3,0,-34.90814896277459,-54.95003930577647
15,1,-33.595898991674105,-56.91199881093058
7,0,-30.90280019988928,-55.53439001940506
3,0,-34.91866462043448,-54.97227071494758
9,0,-31.387168436134665,-57.917490033156604
8,0,-30.400240079774207,-56.46053992096072
1,0,-34.87837880242713,-56.15048683277964
3,0,-34.7808476315706,-54.920795722046044
4,0,-33.99708011234146,-53.56800191530033
3,0,-34.91412571563092,-54.932980917562574
7,0,-30.906045619712806,-55.52623170182723
1,0,-34.907257002394886,-56.20727276214063
2,0,-34.86230939412853,-56.01641928352599
3,0,-34.8811098396918,-54.95049237775489
4,0,-34.057419573176006,-54.28257131109968
1,0,-34.848241382972695,-56.14767932290712
2,0,-34.74937761496289,-55.70006903026775
13,0,-34.43435951849948,-57.86774172225398
16,0,-33.105294922686035,-55.13640143444165
2,0,-34.822828825698146,-55.9586075249011
13,0,-33.99934795346501,-57.64299371198214
1,0,-34.900569335566075,-56.1388208026684
16,0,-33.72685012482317,-56.324775023082964
17,0,-32.8338904714148,-56.49546425400478
3,1,-34.88379205050372,-54.797202255204745
9,0,-31.385612304376732,-57.96359121914058
2,0,-34.68790570226232,-56.27956649813806
1,0,-34.87591259212048,-56.152427020180205
14,0,-34.00901772505924,-57.09600588561328
1,1,-34.862884816558044,-56.17903569955477
12,0,-33.53526203880379,-58.21539552959518
1,0,-34.83740562197907,-56.13915104357808
19,0,-31.78189329007228,-55.98384546958832
5,1,-32.370859927865936,-54.16456699951646
3,0,-34.89100554480531,-54.957249302552185
9,0,-31.36898444047976,-57.94296990450382
19,0,-31.73516672984012,-55.9844614584382
12,0,-33.25678838372877,-58.02118956666917
3,0,-34.89365869655118,-54.97031419062573
1,0,-34.91302654893407,-56.147119686752646
18,1,-34.35729608029518,-55.24416248322096
13,0,-34.30796135227155,-57.354948085236124
10,0,-32.32085106023161,-58.06106348088486
7,0,-31.603131346952544,-54.98163446653534
7,0,-30.890894831684005,-55.55476193727436
2,0,-34.64400601287968,-56.06892279978526
14,0,-34.765842876513126,-56.4006759620883
