gravedad,departamento,longitud,latitud
0.0,1.0,-56.210986989870406,-34.86796569841937
0.0,1.0,-56.23942478462713,-34.868868294105674
0.0,1.0,-56.142131469047015,-34.90848282609792
0.0,1.0,-56.25398337132661,-34.843845063539945
0.0,1.0,-56.13489272756964,-34.87330934041092
0.0,1.0,-56.199537189500695,-34.87533015498714
1.0,1.0,-56.138202090428855,-34.88645296235616
1.0,1.0,-56.08218223916885,-34.885637134889336
0.0,1.0,-56.19612247406743,-34.883287945890245
0.0,1.0,-56.15603312792865,-34.9031247318305
0.0,1.0,-56.24522387492219,-34.84487311010588
0.0,1.0,-56.27143286798536,-34.81856675229526
0.0,1.0,-56.12874504786219,-34.885619084158215
0.0,1.0,-56.1311784380685,-34.88315675581046
0.0,1.0,-56.197059987824574,-34.854393607355725
0.0,1.0,-56.1594569241465,-34.9215887032822
0.0,1.0,-56.21406286898481,-34.860907001658504
0.0,1.0,-56.2567120716925,-34.874881575297124
0.0,1.0,-56.18733647203137,-34.80306522452658
0.0,1.0,-56.22172818562599,-34.842696125714326
0.0,1.0,-56.16437389270688,-34.90092805152287
0.0,1.0,-56.09413644766392,-34.86827846111308
0.0,1.0,-56.20479670010081,-34.86319126959389
0.0,1.0,-56.20639214327032,-34.867935795678186
0.0,1.0,-56.15725665845717,-34.91192503073114
0.0,1.0,-56.03777941489411,-34.775328434545145
0.0,1.0,-56.11969394060741,-34.89804274294853
1.0,1.0,-56.094653106097326,-34.891005723303465
0.0,1.0,-56.141559209967554,-34.90036327685656
0.0,1.0,-56.15119803777006,-34.88902414788075
0.0,1.0,-56.16096853071203,-34.9290383543909
0.0,1.0,-56.12238187880513,-34.794408317955494
0.0,1.0,-56.179083631930645,-34.858060870979905
0.0,1.0,-56.241019283366896,-34.84417064092216
0.0,1.0,-56.19614546609719,-34.90339665683545
0.0,1.0,-56.25619140946674,-34.87194774765504
1.0,1.0,-56.10642081345065,-34.78951297255622
0.0,1.0,-56.2204539713152,-34.85603367875157
1.0,1.0,-56.16940227888046,-34.86349569478285
0.0,1.0,-56.16679264881313,-34.87817604152772
0.0,1.0,-56.2387435813303,-34.86561778120088
0.0,1.0,-56.12621401850687,-34.88695350448329
0.0,1.0,-56.20355807438717,-34.87251610378749
0.0,1.0,-56.072679333283695,-34.87920788557906
0.0,1.0,-56.13157959395608,-34.886631264001394
0.0,1.0,-56.20158519451851,-34.85023033033604
0.0,1.0,-56.0408279742892,-34.78103340864174
0.0,1.0,-56.290516527982895,-34.875534406260726
0.0,1.0,-56.132154258268606,-34.87360542871711
0.0,1.0,-56.18134575451523,-34.90023199873006
0.0,1.0,-56.22681786886769,-34.80133863660291
0.0,1.0,-56.265665237746205,-34.76614046347523
1.0,1.0,-56.10346187552291,-34.82556057263359
0.0,1.0,-56.13669832336722,-34.80519630614673
0.0,1.0,-56.22682106554053,-34.77171626825525
0.0,1.0,-56.32140045439687,-34.812182753199195
0.0,1.0,-56.24939455904273,-34.795077576615945
0.0,1.0,-56.19358949436594,-34.884939371006034
0.0,1.0,-56.15335808628664,-34.88114910102302
0.0,1.0,-56.15000486155651,-34.85610272142912
0.0,1.0,-56.113069492776425,-34.82698359405303
0.0,1.0,-56.152427020180205,-34.87591259212048
0.0,1.0,-56.07037378062585,-34.870173063914834
0.0,1.0,-56.19027620096345,-34.87130121097269
0.0,1.0,-56.16519732285522,-34.84655941987323
0.0,1.0,-56.25885952478916,-34.83675111569118
1.0,1.0,-56.13034003980838,-34.85366427346361
0.0,1.0,-56.25791148310418,-34.85707958298164
1.0,1.0,-56.14695943270956,-34.827902251572375
0.0,1.0,-56.20701733425553,-34.9053617071359
0.0,1.0,-56.157565836891145,-34.90309027924647
0.0,1.0,-56.1456166029438,-34.904900485092334
0.0,1.0,-56.19080795455867,-34.856110549987626
1.0,1.0,-56.11134684536356,-34.87025400114132
0.0,1.0,-56.14974114357008,-34.85515406042656
0.0,1.0,-56.22109200777354,-34.80572066952883
0.0,1.0,-56.22893444159765,-34.80883654439351
0.0,1.0,-56.227134868222265,-34.80251291839865
0.0,1.0,-56.221768075438185,-34.838458208891964
0.0,1.0,-56.18616968433272,-34.89386212764136
0.0,1.0,-56.18965318650417,-34.89018831289758
0.0,1.0,-56.18773949207248,-34.89004028112268
0.0,1.0,-56.117022229387445,-34.8715577652085
0.0,1.0,-56.21896646063156,-34.85138019094621
0.0,1.0,-56.13669832336722,-34.80519630614673
0.0,1.0,-56.20479494317113,-34.85769067731133
0.0,1.0,-56.13689455058677,-34.870212607772224
0.0,1.0,-56.15235221646438,-34.867210387657686
1.0,1.0,-56.25348810148823,-34.87445604177837
1.0,1.0,-56.082457796075325,-34.88545887090864
0.0,1.0,-56.18650637885827,-34.88746210738015
0.0,1.0,-56.13299279322617,-34.87189812986137
0.0,1.0,-56.1357435038861,-34.844279707791664
